Wavelength [nm]	Intensity
180.2263	50.359985
180.5152	46.461907
180.8041	36.155257
181.093	36.442576
181.3819	33.73618
181.6708	59.111905
181.9597	41.367235
182.2486	31.433001
182.5375	32.568424
182.8264	37.666761
183.1153	30.886857
183.4041	25.662127
183.693	27.613044
183.9819	32.683303
184.2708	35.881965
184.5597	32.376751
184.8486	33.385725
185.1375	38.623164
185.4264	44.020322
185.7153	41.15107
186.0042	28.748973
186.2931	24.138661
186.582	31.974897
186.8709	39.966468
187.1598	23.208524
187.4487	27.090135
187.7376	33.810724
188.0265	32.2487
188.3153	31.537856
188.6042	26.983559
188.8931	27.726542
189.182	41.972403
189.4709	56.787088
189.7598	121.67946
190.0487	156.93089
190.3376	151.51142
190.6265	152.31313
190.9154	153.82611
191.2043	159.97337
191.4932	169.33065
191.7821	161.72128
192.071	160.69099
192.3599	157.34669
192.6488	152.47277
192.9376	152.97898
193.2265	160.39414
193.5154	153.0311
193.8043	152.54041
194.0932	164.00385
194.3821	160.16319
194.671	162.57243
194.9599	155.29729
195.2488	153.93209
195.5377	155.76963
195.8266	154.02745
196.1155	155.48842
196.4044	162.58629
196.6933	158.85313
196.9822	152.41816
197.2711	148.85514
197.5599	148.89839
197.8488	154.71071
198.1377	156.59359
198.4266	152.64615
198.7155	148.86652
199.0044	144.79837
199.2933	153.90576
199.5822	147.91943
199.8711	152.31701
200.16	147.5666
200.4489	161.44846
200.7378	159.25305
201.0267	155.35004
201.3156	149.91296
201.6045	152.0573
201.8934	144.96586
202.1822	151.85563
202.4711	154.20486
202.76	156.75461
203.0489	160.89227
203.3378	160.65731
203.6267	162.18993
203.9156	160.70688
204.2045	157.38857
204.4934	158.64435
204.7823	164.04424
205.0712	170.35559
205.3601	171.07474
205.649	165.36075
205.9379	163.50827
206.2268	159.61971
206.5157	151.93667
206.8045	163.26469
207.0934	168.08007
207.3823	158.08676
207.6712	149.76097
207.9601	152.53093
208.249	149.6145
208.5379	152.25202
208.8268	151.47851
209.1157	158.16609
209.4046	144.27793
209.6935	147.82073
209.9824	154.91577
210.2713	145.90401
210.5602	145.83141
210.8491	146.51152
211.138	148.1149
211.4268	151.9299
211.7157	150.29887
212.0046	147.41233
212.2935	149.16379
212.5824	148.19647
212.8713	142.83159
213.1602	143.33958
213.4491	145.54795
213.738	139.14988
214.0269	141.59904
214.3158	143.78859
214.6047	152.26182
214.8936	164.68776
215.1825	151.32456
215.4714	141.81301
215.7603	136.70116
216.0491	153.18526
216.338	164.21292
216.6269	147.63487
216.9158	148.75257
217.2047	147.71534
217.4936	143.46517
217.7825	143.98398
218.0714	142.20947
218.3603	149.09082
218.6492	143.44296
218.9381	139.55888
219.227	144.63312
219.5159	140.00906
219.8048	137.87472
220.0937	140.80039
220.3826	149.9246
220.6714	154.47326
220.9603	140.61594
221.2492	144.96879
221.5381	147.22811
221.827	138.9987
222.1159	141.7539
222.4048	137.3837
222.6937	144.41259
222.9826	134.42844
223.2715	139.76051
223.5604	144.43727
223.8493	146.20737
224.1382	143.73295
224.4271	143.73108
224.716	152.19827
225.0049	147.19267
225.2937	146.65926
225.5826	145.52908
225.8715	143.03828
226.1604	139.51799
226.4493	142.27026
226.7382	146.1875
227.0271	145.45882
227.316	153.28685
227.6049	149.8228
227.8938	149.1304
228.1827	157.43553
228.4716	140.09325
228.7605	147.64441
229.0494	135.00021
229.3383	140.6899
229.6272	146.91829
229.916	156.05424
230.2049	147.28928
230.4938	152.35795
230.7827	146.81941
231.0716	148.40885
231.3605	156.43261
231.6494	150.36287
231.9383	140.48762
232.2272	148.11474
232.5161	147.56908
232.805	138.49415
233.0939	139.74249
233.3828	149.5183
233.6717	152.51785
233.9606	150.83548
234.2495	154.56546
234.5383	156.90301
234.8272	155.97862
235.1161	156.94648
235.405	150.85025
235.6939	158.03608
235.9828	155.96746
236.2717	158.44736
236.5606	145.4223
236.8495	156.79391
237.1384	172.12717
237.4273	168.2441
237.7162	169.88624
238.0051	175.18179
238.294	163.69849
238.5829	175.34709
238.8718	170.23662
239.1606	167.0962
239.4495	164.44892
239.7384	163.32766
240.0273	159.15811
