Wavelength [nm]	intensity
165.3892	-14.52002
165.6764	-17.002648
165.9636	-18.884967
166.2507	-14.814379
166.5379	-14.58439
166.8251	-14.145544
167.1123	-12.392331
167.3995	-13.661888
167.6867	-12.614173
167.9739	-13.811143
168.2611	-18.102404
168.5483	-19.017739
168.8355	-19.125917
169.1227	-17.032079
169.4099	-13.106083
169.697	-15.196472
169.9842	-14.57756
170.2714	-15.130777
170.5586	-16.248107
170.8458	-10.506948
171.133	-13.197792
171.4202	-14.614433
171.7074	-10.369773
171.9946	-14.534694
172.2818	-15.426819
172.569	-13.024846
172.8561	-17.767327
173.1433	-14.700451
173.4305	-11.243668
173.7177	-13.741871
174.0049	-16.157714
174.2921	-12.529291
174.5793	-1.8422823
174.8665	30.697442
175.1537	58.825388
175.4409	61.755958
175.7281	62.924318
176.0153	66.370751
176.3024	64.829858
176.5896	64.164544
176.8768	59.184326
177.164	64.366025
177.4512	69.003139
177.7384	62.069419
178.0256	68.810435
178.3128	59.110155
178.6	65.570657
178.8872	64.577254
179.1744	65.342634
179.4615	65.313709
179.7487	63.202439
180.0359	61.444359
180.3231	60.745822
180.6103	58.897847
180.8975	62.929946
181.1847	65.323109
181.4719	66.372683
181.7591	68.765467
182.0463	67.210034
182.3335	63.921622
182.6206	65.917152
182.9078	70.016608
183.195	66.159225
183.4822	65.339948
183.7694	65.847459
184.0566	63.131436
184.3438	66.890211
184.631	71.607829
184.9182	65.058655
185.2054	69.392196
185.4926	61.892602
185.7798	68.883214
186.0669	62.174862
186.3541	60.494243
186.6413	59.225446
186.9285	69.77828
187.2157	70.694124
187.5029	67.919351
187.7901	66.709002
188.0773	66.100623
188.3645	63.951031
188.6517	62.603445
188.9389	65.14919
189.226	64.272499
189.5132	64.883487
189.8004	68.335488
190.0876	67.893815
190.3748	63.937169
190.662	65.666503
190.9492	65.286203
191.2364	70.353671
191.5236	63.667633
191.8108	65.694444
192.098	64.092541
192.3852	67.014147
192.6723	64.542731
192.9595	67.011086
193.2467	61.462643
193.5339	65.265066
193.8211	67.5668
194.1083	65.532595
194.3955	63.262302
194.6827	61.934892
194.9699	62.989529
195.2571	63.673515
195.5443	62.109803
195.8314	62.284832
196.1186	62.366316
196.4058	60.189302
196.693	60.199217
196.9802	54.473531
197.2674	56.622077
197.5546	53.922259
197.8418	61.393193
198.129	51.527446
198.4162	62.751196
198.7034	61.884419
198.9906	56.509076
199.2777	57.750053
199.5649	56.127216
199.8521	59.62187
200.1393	63.253075
200.4265	64.580645
200.7137	59.607943
201.0009	56.635239
201.2881	61.541556
201.5753	63.562542
201.8625	60.109725
202.1497	60.41869
202.4368	63.356195
202.724	66.293349
203.0112	68.639239
203.2984	64.356133
203.5856	65.206362
203.8728	62.193984
204.16	63.523176
204.4472	53.876861
204.7344	70.094197
205.0216	66.694828
205.3088	59.619916
205.5959	66.892016
205.8831	66.47934
206.1703	61.741413
206.4575	62.839276
206.7447	65.72113
207.0319	62.90772
