;sp260223_002 ch: 1907283U1;;sp260223_002 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
180,2263;46,200012;165,3892;-14,880005;
180,5152;43,891785;165,6764;-10,35392;
180,8041;39,459614;165,9636;-20,47508;
181,0930;33,40119;166,2507;-15,092623;
181,3819;36,178536;166,5379;-13,622789;
181,6708;62,903452;166,8251;-14,782521;
181,9597;47,974752;167,1123;-17,258307;
182,2486;39,105725;167,3995;-14,028691;
182,5375;31,492063;167,6867;-10,312528;
182,8264;35,964794;167,9739;-12,018662;
183,1153;31,928434;168,2611;-16,719345;
183,4041;26,563989;168,5483;-20,675127;
183,6930;28,133288;168,8355;-20,414424;
183,9819;32,478269;169,1227;-15,936998;
184,2708;35,272856;169,4099;-14,875506;
184,5597;31,820807;169,6970;-17,164807;
184,8486;31,734027;169,9842;-13,817293;
185,1375;36,227059;170,2714;-11,930473;
185,4264;40,700829;170,5586;-10,899332;
185,7153;39,575098;170,8458;-14,570885;
186,0042;27,383959;171,1330;-15,482027;
186,2931;26,124321;171,4202;-13,42387;
186,5820;37,769935;171,7074;-9,9556517;
186,8709;35,904935;171,9946;-9,5926798;
187,1598;25,049166;172,2818;-19,25153;
187,4487;28,914261;172,5690;-13,65711;
187,7376;36,736851;172,8561;-15,96561;
188,0265;32,434736;173,1433;-15,640801;
188,3153;34,356026;173,4305;-14,168384;
188,6042;22,713757;173,7177;-13,470499;
188,8931;31,786891;174,0049;-13,578938;
189,1820;45,267099;174,2921;-11,97513;
189,4709;62,017162;174,5793;-1,8592988;
189,7598;136,42064;174,8665;28,356768;
190,0487;177,36705;175,1537;50,980613;
190,3376;171,59797;175,4409;50,39794;
190,6265;170,0147;175,7281;50,634071;
190,9154;170,35039;176,0153;52,99593;
191,2043;178,34241;176,3024;50,443958;
191,4932;189,63941;176,5896;51,672536;
191,7821;181,39031;176,8768;46,564162;
192,0710;178,24558;177,1640;45,670645;
192,3599;172,6993;177,4512;55,433965;
192,6488;173,55899;177,7384;49,565996;
192,9376;173,16658;178,0256;48,928273;
193,2265;173,22826;178,3128;45,841412;
193,5154;174,81775;178,6000;51,372354;
193,8043;176,60901;178,8872;54,845945;
194,0932;178,08506;179,1744;50,228038;
194,3821;178,88756;179,4615;53,891867;
194,6710;186,94242;179,7487;50,585131;
194,9599;177,25562;180,0359;46,248359;
195,2488;174,12931;180,3231;43,064756;
195,5377;176,89576;180,6103;39,162192;
195,8266;170,54694;180,8975;44,280445;
196,1155;168,95756;181,1847;48,555096;
196,4044;180,19232;181,4719;50,933772;
196,6933;178,33712;181,7591;51,833505;
196,9822;169,1138;182,0463;49,150431;
197,2711;164,18329;182,3335;46,505872;
197,5599;161,11126;182,6206;46,45608;
197,8488;166,06676;182,9078;51,17242;
198,1377;170,5095;183,1950;45,670883;
198,4266;167,6289;183,4822;47,586098;
198,7155;168,20295;183,7694;48,447561;
199,0044;164,68803;184,0566;47,089405;
199,2933;171,00901;184,3438;54,414709;
199,5822;165,29394;184,6310;56,048171;
199,8711;173,53698;184,9182;47,185303;
200,1600;167,2413;185,2054;52,715055;
200,4489;170,06603;185,4926;51,204795;
200,7378;167,79001;185,7798;52,455095;
201,0267;178,30994;186,0669;41,836945;
201,3156;162,70846;186,3541;47,186866;
201,6045;167,5381;186,6413;46,757202;
201,8934;165,72388;186,9285;49,643128;
202,1822;167,79892;187,2157;51,531021;
202,4711;163,69149;187,5029;49,120946;
202,7600;173,0269;187,7901;48,604143;
203,0489;177,60786;188,0773;50,865945;
203,3378;175,45583;188,3645;48,375944;
203,6267;178,09295;188,6517;47,591104;
203,9156;173,07288;188,9389;50,158408;
204,2045;175,35033;189,2260;46,748347;
204,4934;181,66984;189,5132;51,182822;
204,7823;180,31339;189,8004;49,752088;
205,0712;181,58267;190,0876;50,88126;
205,3601;185,2342;190,3748;52,317918;
205,6490;182,70349;190,6620;48,51412;
205,9379;179,47953;190,9492;51,354799;
206,2268;175,61681;191,2364;47,289127;
206,5157;167,17087;191,5236;48,962971;
206,8045;175,12049;191,8108;53,972377;
207,0934;183,58303;192,0980;49,405094;
207,3823;179,25715;192,3852;51,090541;
207,6712;173,50499;192,6723;52,145218;
207,9601;173,06248;192,9595;50,424425;
208,2490;162,81653;193,2467;48,365109;
208,5379;171,6905;193,5339;47,929246;
208,8268;170,22553;193,8211;48,251864;
209,1157;172,80956;194,1083;49,680516;
209,4046;163,79324;194,3955;48,251303;
209,6935;167,43243;194,6827;48,542764;
209,9824;173,8134;194,9699;51,513975;
210,2713;163,70517;195,2571;50,648348;
210,5602;163,95734;195,5443;48,09119;
210,8491;164,63869;195,8314;47,800862;
211,1380;166,41918;196,1186;47,453432;
211,4268;167,44838;196,4058;45,373963;
211,7157;164,25119;196,6930;47,249188;
212,0046;163,56483;196,9802;46,193436;
212,2935;166,9472;197,2674;44,420396;
212,5824;166,84608;197,5546;45,480262;
212,8713;164,16877;197,8418;48,044278;
213,1602;168,07355;198,1290;36,360389;
213,4491;166,96226;198,4162;44,000705;
213,7380;157,77446;198,7034;48,304882;
214,0269;158,29454;198,9906;40,105214;
214,3158;159,99264;199,2777;43,890151;
214,6047;166,93261;199,5649;40,402336;
214,8936;176,25793;199,8521;41,699312;
215,1825;172,01615;200,1393;49,115408;
215,4714;159,33722;200,4265;48,175479;
215,7603;165,29685;200,7137;42,656665;
216,0491;167,6194;201,0009;42,936231;
216,3380;183,3326;201,2881;50,66051;
216,6269;169,00114;201,5753;53,964298;
216,9158;170,12692;201,8625;51,400384;
217,2047;163,47135;202,1497;52,27125;
217,4936;162,47989;202,4368;52,938696;
217,7825;164,54351;202,7240;51,594628;
218,0714;161,77928;203,0112;49,316192;
218,3603;164,32565;203,2984;48,512377;
218,6492;160,10497;203,5856;53,989167;
218,9381;161,64233;203,8728;52,414024;
219,2270;167,45949;204,1600;48,502834;
219,5159;162,20605;204,4472;42,795636;
219,8048;159,07113;204,7344;53,096598;
220,0937;156,59374;205,0216;50,370054;
